,link,gender,height,weight,firstAppearance,firstAppearanceDate,yearFirstAppeared,heightInInches,weightInPounds,name,universe
0,http://dc.wikia.com/wiki/Dee_Dee_(DCAU),Female,"5' 6""",110 lbs (50 kg),"Batman Beyond: Return of the Joker(December 12, 2000)","December 12, 2000",2000,66,110,Dee Dee,DCAU
1,http://dc.wikia.com/wiki/Doctor_Moon_(New_Earth),Male,"5' 5""",110 lbs (50 kg),"Batman  #240(March, 1972)","March, 1972",1972,65,110,Doctor Moon,New Earth
2,http://dc.wikia.com/wiki/Eve_Aries_(Pre-Zero_Hour),Female,"5' 5""",110 lbs (50 kg),"Superman  #147(August, 1961)","August, 1961",1961,65,110,Eve Aries,Pre-Zero Hour
3,http://dc.wikia.com/wiki/Isabelle_Cheranova_(New_Earth),Female,"5' 4""",110 lbs (50 kg),"Batman: Legends of the Dark Knight  #119(July, 1999)","July, 1999",1999,64,110,Isabelle Cheranova,New Earth
4,http://dc.wikia.com/wiki/Jarras_Minion_(New_Earth),Male,"5' 0""",110 lbs (50 kg),"New Titans  #114(September, 1994)","September, 1994",1994,60,110,Jarras Minion,New Earth
5,http://dc.wikia.com/wiki/Josephine_MacDonald_(New_Earth),Female,"5' 8""",110 lbs (50 kg),"Detective Comics  #763(December, 2001)","December, 2001",2001,68,110,Josephine MacDonald,New Earth
6,http://dc.wikia.com/wiki/Katherine_Manser_(New_Earth),Female,"5' 4""",110 lbs (50 kg),"Weird Western Tales  #48(October, 1978)","October, 1978",1978,64,110,Katherine Manser,New Earth
7,http://dc.wikia.com/wiki/Kevin_Wells_(Impact),Male,"5' 0""",110 lbs (50 kg),"Web (Impact)  #1(September, 1991)","September, 1991",1991,60,110,Kevin Wells,Impact
8,http://dc.wikia.com/wiki/Lady_Chian_(New_Earth),Female,"5' 2""",110 lbs (50 kg),"Warlord  #55(March, 1982)","March, 1982",1982,62,110,Lady Chian,New Earth
9,http://dc.wikia.com/wiki/Liza_Warner_(Arrow),Female,"5' 5""",110 lbs (50 kg),"""Beyond Redemption""(October, 2015)","October, 2015",2015,65,110,Liza Warner,Arrow
10,http://dc.wikia.com/wiki/Lori_Zechlin_(New_Earth),Female,"5' 5""",110 lbs (50 kg),"Birds of Prey  #76(January, 2005)","January, 2005",2005,65,110,Lori Zechlin,New Earth
11,http://dc.wikia.com/wiki/Lori_Zechlin_(Prime_Earth),Female,"5' 5""",110 lbs (50 kg),"Secret Six Vol 4  #1(February, 2015)","February, 2015",2015,65,110,Lori Zechlin,Prime Earth
12,http://dc.wikia.com/wiki/Marlene_Simmonds_(New_Earth),Female,"5' 10""",110 lbs (50 kg),"Adventures of the Outsiders  #37(September, 1986)","September, 1986",1986,70,110,Marlene Simmonds,New Earth
13,http://dc.wikia.com/wiki/Pamela_Isley_(New_Earth),Female,"5' 6""",110 lbs (50 kg),"Batman  #181(June, 1966)","June, 1966",1966,66,110,Pamela Isley,New Earth
14,http://dc.wikia.com/wiki/Patricia_Swann_(Smallville),Female,"5' 6""",110 lbs (50 kg),"""Traveler""(March, 2008)","March, 2008",2008,66,110,Patricia Swann,Smallville
15,http://dc.wikia.com/wiki/Roxanne_Ballantine_(DCAU),Female,"5' 6""",110 lbs (50 kg),"Batman: Mystery of the Batwoman(October 21, 2003)","October 21, 2003",2003,66,110,Roxanne Ballantine,DCAU
16,http://dc.wikia.com/wiki/Theresa_Collins_(New_Earth),Female,"5' 5""",110 lbs (50 kg),"Booster Gold  #1(February, 1986)","February, 1986",1986,65,110,Theresa Collins,New Earth
17,http://dc.wikia.com/wiki/William_Batson_(Prime_Earth),Male,"6' 2""",110 lbs (50 kg),"Justice League Vol 2  #7(May, 2012)","May, 2012",2012,74,110,William Batson,Prime Earth
18,http://dc.wikia.com/wiki/Zoe_Saugin_(Post-Zero_Hour),Female,"5' 2""",110 lbs (50 kg),"Legion of Super-Heroes Vol 4  #66(March, 1995)","March, 1995",1995,62,110,Zoe Saugin,Post-Zero Hour
19,http://dc.wikia.com/wiki/A%27monn_A%27mokk_(New_Earth),Male,"7' 0"" [1]",1100 lbs (499 kg) [1],"Son of Vulcan Vol 2  #1(August, 2005)","August, 2005",2005,84,110,A%27monn A%27mokk,New Earth
20,http://dc.wikia.com/wiki/Sledge_(New_Earth),Male,"10' 0""",1102 lbs (500 kg),"Guy Gardner: Warrior  #27(January, 1995)","January, 1995",1995,0,110,Sledge,New Earth
21,http://dc.wikia.com/wiki/Courtney_Mason_(New_Earth),Female,"5' 3""",111 lbs (50 kg),"New Titans Annual  #9(July, 1993)","July, 1993",1993,63,111,Courtney Mason,New Earth
22,http://dc.wikia.com/wiki/Tiger_(Earth-Four),Male,"5' 0""",111 lbs (50 kg),"Judomaster  #91(October, 1966)","October, 1966",1966,60,111,Tiger,Earth-Four
23,http://dc.wikia.com/wiki/Adrianna_Tereshkova_(Wildstorm_Universe),Female,"6' 0""",112 lbs (51 kg),"WildC.A.T.s  #1(August, 1992)","August, 1992",1992,72,112,Adrianna Tereshkova,Wildstorm Universe
24,http://dc.wikia.com/wiki/Anne-Marie_Brogan_(New_Earth),Female,"5' 3""",112 lbs (51 kg),"Peter Cannon: Thunderbolt  #1(September, 1992)","September, 1992",1992,63,112,Anne-Marie Brogan,New Earth
25,http://dc.wikia.com/wiki/Arisia_Rrab_(New_Earth),Female,"5' 9""",112 lbs (51 kg),"Tales of the Green Lantern Corps  #1(May, 1981)","May, 1981",1981,69,112,Arisia Rrab,New Earth
26,http://dc.wikia.com/wiki/Delphae_(Wildstorm_Universe),Female,"5' 8""",112 lbs (51 kg),"WildC.A.T.s Trilogy  #1(June, 1993)","June, 1993",1993,68,112,Delphae,Wildstorm Universe
27,http://dc.wikia.com/wiki/Harper_Row_(Prime_Earth),Female,"5' 5""",112 lbs (51 kg),"Batman Vol 2  #1(November, 2011)","November, 2011",2011,65,112,Harper Row,Prime Earth
28,http://dc.wikia.com/wiki/Lani_Gilbert_(New_Earth),Female,"5' 5""",112 lbs (51 kg),"Detective Comics  #518(September, 1982)","September, 1982",1982,65,112,Lani Gilbert,New Earth
29,http://dc.wikia.com/wiki/Lani_Gilbert_(Prime_Earth),Female,"5' 5""",112 lbs (51 kg),"Batgirl Vol 4  #43(October, 2015)","October, 2015",2015,65,112,Lani Gilbert,Prime Earth
30,http://dc.wikia.com/wiki/Leah_Wasserman_(New_Earth),Female,"5' 6""",112 lbs (51 kg),"Firestorm Vol 2  #29(November, 1984)","November, 1984",1984,66,112,Leah Wasserman,New Earth
31,http://dc.wikia.com/wiki/Rebecca_Sharpe_(New_Earth),Female,"5' 6""",112 lbs (51 kg),"Infinity Inc.  #34(January, 1987)","January, 1987",1987,66,112,Rebecca Sharpe,New Earth
32,http://dc.wikia.com/wiki/Rhea_Jones_(New_Earth),Female,"5' 6""",112 lbs (51 kg),"Doom Patrol Vol 2  #3(December, 1987)","December, 1987",1987,66,112,Rhea Jones,New Earth
33,http://dc.wikia.com/wiki/Tara_Markov_(New_Earth),Female,"5' 1""",112 lbs (51 kg),"New Teen Titans  #26(December, 1982)","December, 1982",1982,61,112,Tara Markov,New Earth
34,http://dc.wikia.com/wiki/Tara_Markov_(Team_Titans),Female,"5' 1""",112 lbs (51 kg),New Titans Annual  #7(1991),1991,1991,61,112,Tara Markov,Team Titans
35,http://dc.wikia.com/wiki/Mongul_(Prime_Earth),Male,"8' 0""",1125 lbs (510 kg),"Green Lantern Vol 5  #5(March, 2012)","March, 2012",2012,96,112,Mongul,Prime Earth
36,http://dc.wikia.com/wiki/Mongul_I_(New_Earth),Male,"8' 0""",1125 lbs (510 kg),"Adventures of Superman  #454(May, 1989)","May, 1989",1989,96,112,Mongul I,New Earth
37,http://dc.wikia.com/wiki/Klarion_Bleak_(New_Earth),Male,"5' 1""",113 lbs (51 kg),"Demon  #7(March, 1973)","March, 1973",1973,61,113,Klarion Bleak,New Earth
