,link,gender,height,weight,firstAppearance,firstAppearanceDate,yearFirstAppeared,heightInInches,weightInPounds,name,universe
0,http://marvel.wikia.com/wiki/Dafydd_ap_Andras_(Earth-6124),Male,"6' 1""",0 lbs (0 kg) (formerly 170 lbs),"X-Factor Vol 3  #2(February, 2006)","February, 2006",2006,73,0,Dafydd ap Andras,Earth-6124
1,http://marvel.wikia.com/wiki/Helio_(Earth-616),Male,"6' 1""",0 lbs (0 kg),"Marvel Two-In-One  #71(January, 1981)","January, 1981",1981,73,0,Helio,Earth-616
2,http://marvel.wikia.com/wiki/Modulus_(Earth-616),Male,"6' 1"" (Variable)",0 lbs (0 kg),"Fantastic Four Vol 3  #62(December, 2002)","December, 2002",2002,73,0,Modulus,Earth-616
3,http://marvel.wikia.com/wiki/Awesome_Android_(Earth-13584),Male,"15' 1"" (Variable)",1 lbs (0 kg) (Variable),"Dark Avengers  #185(March, 2013)","March, 2013",2013,61,1,Awesome Android,Earth-13584
4,http://marvel.wikia.com/wiki/Big_Mother_(Earth-616),Female,"16' 0"" (variable)",1 lbs (0 kg) (variable),"Captain Marvel Vol 4  #20(August, 2001)","August, 2001",2001,72,1,Big Mother,Earth-616
5,http://marvel.wikia.com/wiki/Lockjaw_(Earth-61112),Male,"5' 0"" (at shoulder) Length: 6'8"" (from muzzle to hock) ",1 lbs (0 kg),"Age of Ultron  #2(May, 2013)","May, 2013",2013,60,1,Lockjaw,Earth-61112
6,http://marvel.wikia.com/wiki/Sikorsky_(Earth-616),Male,"1' 6""",1 lbs (0 kg),"Uncanny X-Men  #156(April, 1982)","April, 1982",1982,18,1,Sikorsky,Earth-616
7,http://marvel.wikia.com/wiki/Tippy-Toe_(Earth-12131),Female,"2' 0""",1 lbs (0 kg),"Marvel: Avengers Alliance(March 1, 2012)","March 1, 2012",2012,24,1,Tippy-Toe,Earth-12131
8,http://marvel.wikia.com/wiki/Tippy-Toe_(Earth-616),Female,"2' 0"" (including tail)",1 lbs (0 kg),"G.L.A.  #4(September, 2005)","September, 2005",2005,24,1,Tippy-Toe,Earth-616
9,http://marvel.wikia.com/wiki/Bill_the_Lobster_(Earth-616),Male,"1' 2""",10 lbs (5 kg),"Fallen Angels  #2(May, 1987)","May, 1987",1987,14,10,Bill the Lobster,Earth-616
10,http://marvel.wikia.com/wiki/Don_the_Lobster_(Earth-616),Male,"1' 2""",10 lbs (5 kg),"Fallen Angels  #2(May, 1987)","May, 1987",1987,14,10,Don the Lobster,Earth-616
11,http://marvel.wikia.com/wiki/Niels_(Earth-616),Male,"1' 2"" (at shoulder)",10 lbs (5 kg),"Speedball  #1(September, 1988)","September, 1988",1988,14,10,Niels,Earth-616
12,http://marvel.wikia.com/wiki/Abigail_Boylen_(Earth-616),Female,"5' 5""",100 lbs (45 kg),"Civil War Battle Damage Report  #1(May, 2007) (Cameo)Avengers: The Initiative  #1(June, 2007)(First full appearance)","June, 2007",2007,65,100,Abigail Boylen,Earth-616
13,http://marvel.wikia.com/wiki/Allene_Green_(Earth-616),Female,"5' 3""",100 lbs (45 kg),"Unbeatable Squirrel Girl Beats Up the Marvel Universe!  #1(December, 2016)","December, 2016",2016,63,100,Allene Green,Earth-616
14,http://marvel.wikia.com/wiki/Arthur_Centino_(Earth-1610),Male,"5' 9""",100 lbs (45 kg),"Ultimate X-Men  #54(February, 2005)","February, 2005",2005,69,100,Arthur Centino,Earth-1610
15,http://marvel.wikia.com/wiki/Avia_(Savage_Land)_(Earth-616),Female,"6' 3""",100 lbs (45 kg),"X-Men: The Hidden Years  #2(January, 2000)","January, 2000",2000,75,100,Avia (Savage Land),Earth-616
16,http://marvel.wikia.com/wiki/Doreen_Green_(Earth-12131),Female,"5' 3""",100 lbs (45 kg),"Marvel: Avengers Alliance(March 1, 2012)","March 1, 2012",2012,63,100,Doreen Green,Earth-12131
17,http://marvel.wikia.com/wiki/Doreen_Green_(Earth-61112),Female,"5' 3""",100 lbs (45 kg),"Age of Ultron  #2(May, 2013)","May, 2013",2013,63,100,Doreen Green,Earth-61112
